brand,color,condition,body_type,wheel_config,transmission,mileage,carfax_link,dealer_address,cylinders,vehicle_age,list_price
german,Grey,Used,"SUV, Crossover",Unknown,Automatic,62000,Available,Toronto,6,5,35999.0
german,Red,Used,Sedan,Front-wheel drive (FWD),Automatic,98488,Available,Toronto,4,5,12750.0
american,other,Used,Sedan,Front-wheel drive (FWD),Automatic,102394,Available,Toronto,4,8,10988.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,80487,Available,Toronto,4,7,6495.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,75203,Available,Toronto,4,5,13999.0
korean,Grey,Used,Sedan,All-wheel drive (AWD),Automatic,67172,Available,Toronto,6,5,26500.0
american,Grey,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,55110,Available,other_GTA,6,4,27995.0
american,White,Used,Pickup Truck,Unknown,Automatic,85000,None,other,8,10,16990.0
japanese,White,Used,Pickup Truck,4 x 4,Automatic,15300,Available,other,6,2,40990.0
italian,Black,Used,Sedan,Rear-wheel drive (RWD),Automatic,92478,Available,Toronto,4,10,37800.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,62544,Available,other_GTA,4,5,17999.0
japanese,Black,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,137791,Available,Toronto,4,10,6999.0
american,Red,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,71545,Available,other,6,4,29748.0
american,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,180487,Available,Toronto,4,10,9720.0
american,White,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,95000,Available,Toronto,8,5,16600.0
american,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,56000,Available,other_GTA,4,5,17000.0
korean,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,173000,Available,Toronto,4,8,9900.0
japanese,White,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,54705,Available,other,6,4,29900.0
american,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,138000,Available,Toronto,8,12,17900.0
japanese,Grey,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,106000,None,Toronto,4,5,17450.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,85000,None,Toronto,4,7,14450.0
japanese,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,115000,Available,Toronto,4,4,15850.0
american,White,Used,"SUV, Crossover",4 x 4,Manual,82365,Available,Toronto,6,5,22881.0
german,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,86000,Available,Toronto,8,7,32800.0
american,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,70000,Available,Toronto,4,6,10477.0
german,Grey,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,99000,Available,Toronto,6,13,11500.0
german,Red,Used,Sedan,All-wheel drive (AWD),Automatic,122094,Available,Toronto,8,6,36800.0
american,White,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,19495,None,Toronto,8,3,26600.0
korean,Black,Used,Sedan,Rear-wheel drive (RWD),Automatic,104000,None,Toronto,8,9,16000.0
american,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,54000,Available,Toronto,4,3,19999.0
korean,other,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,50,New_Car,other_GTA,4,1,41485.0
american,Grey,Used,"SUV, Crossover",4 x 4,Automatic,71759,Available,Toronto,6,5,25124.0
american,White,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,108000,Available,Toronto,5,8,11900.0
japanese,Silver,Used,Sedan,Front-wheel drive (FWD),Automatic,33197,None,Toronto,4,9,13995.0
korean,White,Used,Sedan,Front-wheel drive (FWD),Automatic,79520,Available,Toronto,4,5,9979.0
american,Black,Used,Hatchback,Front-wheel drive (FWD),Automatic,89000,Available,Toronto,4,6,9850.0
american,White,Used,"SUV, Crossover",4 x 4,Automatic,48477,Available,Toronto,6,5,33633.0
american,Black,Used,Sedan,Rear-wheel drive (RWD),Manual,43822,Available,Toronto,8,5,30465.0
japanese,Silver,Used,Sedan,Front-wheel drive (FWD),Automatic,190000,None,Toronto,6,14,5200.0
japanese,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,145500,Available,other_GTA,6,5,23999.0
korean,Red,Used,Sedan,Front-wheel drive (FWD),Automatic,37943,Available,other_GTA,4,4,16995.0
german,Black,Used,Sedan,Rear-wheel drive (RWD),Automatic,90150,Available,Toronto,6,7,41800.0
american,Red,Used,"SUV, Crossover",4 x 4,Automatic,24205,Available,Toronto,6,2,34603.0
american,Blue,Used,"SUV, Crossover",4 x 4,Automatic,29400,Available,Toronto,6,2,34603.0
japanese,White,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,56617,Available,other,6,5,21999.0
