,brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
598,Volkswagen,Passat,2018,"$17,900 ",Black,TREDLINE TSI **AUTOMATIC-BACK UP CAMERA-HEATED SEATS**,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"119,000",https://www.carproof.com/order?ref=kijiji&vin=1VWAA7A35JC034483,"301 Weston Road, Toronto, ON, M6N 3P1"
599,Dodge,Journey,2016,"$18,095 ",Silver,Canada Value Pkg | 4-Speed Automatic | FWD,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"63,290",https://www.carproof.com/order?ref=kijiji&vin=3C4PDCABXGT101113,"1800 Toyo Circle, Mississauga, ON, L4W 0E7"
600,Land Rover,Range Rover,2019,"$169,800 ",Black,"Autobiography LWB, MASSAGE SEATS, NAV, HEATED SEAT",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"48,985",https://www.carproof.com/order?ref=kijiji&vin=SALGV5RE8KA526314,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
601,Infiniti,G37x,2012,"$4,999 ",Black,LUXURY AWD! NAVI,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"353,000",https://www.carproof.com/order?ref=kijiji&vin=JN1CV6AR6CM681666,"4040 Sheppard Ave E, Scarborough, ON, M1S 1S6"
602,Volkswagen,Tiguan,2018,"$34,190 ",White,"Highline AWD 4 Motion w/ Nav, CarPlay, Android Auto, Panoroof",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"53,243",na,"12 Goldthorne, Etobicoke, ON, M8Z5S8"
603,BMW,3-Series,2022,"$63,264 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
604,BMW,5-Series,2022,"$75,163 ",Grey,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
605,BMW,3-Series,2022,"$59,969 ",White,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
606,BMW,X3,2022,"$64,154 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
607,BMW,3-Series,2022,"$74,779 ",White,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
608,BMW,X3,2022,"$65,449 ",Blue,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
609,BMW,5-Series,2022,"$78,664 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
610,BMW,3-Series,2022,"$62,619 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
611,BMW,X5,2022,"$93,894 ",White,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
612,BMW,X3,2022,"$64,554 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
613,BMW,X6,2022,"$97,229 ",Black,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
614,BMW,X3,2022,"$67,134 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
615,Other,Other,2021,"$27,997 ",Other,na,New,Other,Other,na,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
616,BMW,X6,2022,"$111,379 ",Black,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
617,BMW,8-Series,2022,"$144,814 ",White,XDrive Cabriolet,New,Convertible,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
