,brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
0,BMW,X3,2016,"$23,985 ",Grey,//M SPORT | NAVI | PANO | XENON,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"141,102",https://www.carproof.com/order?ref=kijiji&vin=5UXWX9C54G0D94213,"2430 Finch Ave West,, North York, ON, M9M 2E1"
1,Mercedes-Benz,C-Class,2018,"$36,990 ",Black,C300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"55,595",na,"55 Auction Ln, Brampton, ON, L6T 5V8"
2,Hyundai,Elantra,2019,"$21,999 ",Black,"PREFERRED, REARVIEW CAM, HEATED SEATS,LDW, BLINDSP",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"55,338",https://www.carproof.com/order?ref=kijiji&vin=KMHD84LF3KU750176,"3675 Keele Street, Toronto, ON, M3J 1M6"
3,Mercedes-Benz,C-Class,2018,"$58,800 ",Black,"AMG C43 4MATIC, 362HP, AWD, NIGHT PKG, NAV, PANO,",Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Other,"47,093",https://www.carproof.com/order?ref=kijiji&vin=WDDWJ6EB6JF700856,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
4,Dodge,Grand Caravan,2020,"$44,897 ",White,GT|7PASSENGER|NAV|DVDSCREEN|LEATHER|STOW&GO|SIRIUS,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Other,"62,716",https://www.carproof.com/order?ref=kijiji&vin=2C4RDGEGXLR205653,"100 Toro Road, North York, ON, M3J 2A9"
5,Honda,Other,2010,"$8,495 ",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCP2F35AA806080,"917 Queen Street East, Toronto, ON, M4M 1J6"
6,Honda,Civic,2012,"$9,800 ",Black,Si,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,na,260,na,"Markham, ON L3R"
7,Land Rover,Range Rover Evoque,2015,"$28,585 ",White,NAVI | PANO | REAR CAM | FINANCE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"99,892",https://www.carproof.com/order?ref=kijiji&vin=SALVP2BG7FH007909,"2430 Finch Ave West,, North York, ON, M9M 2E1"
8,Nissan,Pathfinder,2014,"$12,000 ",Grey,Sl,Used,"SUV, Crossover",na,Automatic,na,"350,000",na,"Toronto, ON M4B1A5"
9,Dodge,Avenger,2014,"$7,950 ",Black,SXT,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"170,000",https://www.carproof.com/order?ref=kijiji&vin=1C3CDZCB9EN162730,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
10,Jeep,Patriot,2011,"$6,750 ",Grey,North Edition,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=1J4NF2GBXBD202633,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
11,Infiniti,QX60,2017,"$25,950 ",Blue,QX 60,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"127,000",https://www.carproof.com/order?ref=kijiji&vin=5N1DL0MMXHC549233,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
12,Mazda,Tribute,2010,"$3,950 ",Silver,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"245,000",https://www.carproof.com/order?ref=kijiji&vin=4F2CY0C71AKM08494,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
13,Mercedes-Benz,C-Class,2014,"$13,950 ",White,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"149,000",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8AB3EG244273,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
14,Volkswagen,Jetta,2009,"$4,950 ",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"233,000",https://www.carproof.com/order?ref=kijiji&vin=3VWHM71K29M090789,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
15,Nissan,Sentra,2010,"$2,950 ",Blue,SE,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,"196,000",https://www.carproof.com/order?ref=kijiji&vin=3N1AB6AP3AL619437,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
16,Chevrolet,Silverado 1500,2010,"$13,950 ",Black,LT,Used,Pickup Truck,4 x 4,Automatic,Other,"285,000",https://www.carproof.com/order?ref=kijiji&vin=3GCRKSE30AG100676,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
17,Toyota,RAV4,2013,"$12,950 ",Grey,LE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=2T3BFREV7DW027892,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
18,Chevrolet,Malibu,2009,"$4,750 ",Grey,LTZ,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"294,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZK577594132770,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
19,Mazda,Mazda3 Sport,2015,"$9,950 ",Blue,GS,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"242,000",https://www.carproof.com/order?ref=kijiji&vin=3MZBM1L71FM233433,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
20,Hyundai,Elantra,2012,"$7,750 ",Purple,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"178,000",https://www.carproof.com/order?ref=kijiji&vin=5NPDH4AE5CH146574,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
21,Lexus,IS,2014,"$19,950 ",Grey,AWD,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"151,000",https://www.carproof.com/order?ref=kijiji&vin=JTHCF1D29E5004473,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
22,Toyota,FJ Cruiser,2008,"$15,950 ",Yellow,C Package,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"389,000",https://www.carproof.com/order?ref=kijiji&vin=JTEBU11F98K037226,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
23,Infiniti,G37x,2009,"$9,950 ",Grey,G37x,Used,Sedan,Other,Automatic,Gasoline,"141,000",https://www.carproof.com/order?ref=kijiji&vin=JNKCV61F19M358524,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
24,Infiniti,EX35,2012,"$8,950 ",Other,EX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"214,000",https://www.carproof.com/order?ref=kijiji&vin=JN1AJ0HR6CM452572,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
25,Toyota,Tacoma,2015,"$29,950 ",Black,TRD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"171,000",https://www.carproof.com/order?ref=kijiji&vin=5TFMU4FN9FX032350,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
26,Dodge,Dakota,2008,"$8,950 ",Grey,SLT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"253,000",https://www.carproof.com/order?ref=kijiji&vin=1D7HW38K08S624329,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
27,Mazda,B-Series Pickups,2008,"$10,999 ",Red,SE  /  4X4  /  EXTENDED CAB,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"208,000",https://www.carproof.com/order?ref=kijiji&vin=4f4zr47e98pm04981,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
28,Dodge,Dakota,2007,"$10,999 ",Silver,"QUAD CAB  /  4X4  /  ONLY 146,000 KMS",Used,Pickup Truck,4 x 4,Automatic,Gasoline,"146,000",https://www.carproof.com/order?ref=kijiji&vin=1d7hw28kx7s175511,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
29,Ford,Ranger,2008,"$10,999 ",Blue,SPORT  /  4X4  /  NO ACCIDENTS CARFAX INCLUDED,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"222,000",https://www.carproof.com/order?ref=kijiji&vin=1ftzr45e08pa85319,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
30,Ford,Mustang,2013,"$21,990 ",Silver,CONVERTIBLE PREMIUM **MUSTANG CLUB OF AMERICA**,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,"89,000",https://www.carproof.com/order?ref=kijiji&vin=1ZVBP8EM0D5217682,"301 Weston Road, Toronto, ON, M6N 3P1"
31,BMW,X3,2015,"$19,750 ",Grey,X3 28D Xdrive Diesel,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Diesel,"178,000",na,"North York, ON M2N"
32,Chevrolet,Express,2014,"$11,970 ",Black,SUPER CLEAN MUST SEE **** V6 4.3L READY FOR WORK,Used,Other,Rear-wheel drive (RWD),Automatic,Other,"624,600",https://www.carproof.com/order?ref=kijiji&vin=1GCSGAFXXE1105788,"5455 Steeles Avenue West, North York, ON, M9L 1S7"
33,Tesla,Model 3,2021,"$85,995 ",White,Performance,Used,Sedan,Other,na,Other,840,na,"420 Ecclestone DriveBox 1990, Bracebridge, ON, P1L 1V9"
34,Genesis,G80,2017,"$28,998 ",Black,4dr Sdn 3.8L Luxury,Used,Sedan,Other,Automatic,Other,"80,441",https://www.carproof.com/order?ref=kijiji&vin=KMHGN4JE1HU206719,"79 East Don Roadway, Toronto, ON, M4M 2A5"
35,Porsche,Cayman,2018,"$88,800 ",Black,"S, 350HP, PDK, PREM PLUS, NAV, CAM, PASM, HEATED",Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Other,"16,628",https://www.carproof.com/order?ref=kijiji&vin=WP0AB2A88JK278472,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
36,na,na,na,na,na,na,na,na,na,na,na,na,na,na
37,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38,na,na,na,na,na,na,na,na,na,na,na,na,na,na
39,na,na,na,na,na,na,na,na,na,na,na,na,na,na
40,na,na,na,na,na,na,na,na,na,na,na,na,na,na
41,na,na,na,na,na,na,na,na,na,na,na,na,na,na
42,na,na,na,na,na,na,na,na,na,na,na,na,na,na
43,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44,na,na,na,na,na,na,na,na,na,na,na,na,na,na
45,na,na,na,na,na,na,na,na,na,na,na,na,na,na
46,na,na,na,na,na,na,na,na,na,na,na,na,na,na
47,na,na,na,na,na,na,na,na,na,na,na,na,na,na
48,na,na,na,na,na,na,na,na,na,na,na,na,na,na
49,na,na,na,na,na,na,na,na,na,na,na,na,na,na
50,na,na,na,na,na,na,na,na,na,na,na,na,na,na
51,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52,na,na,na,na,na,na,na,na,na,na,na,na,na,na
53,na,na,na,na,na,na,na,na,na,na,na,na,na,na
54,na,na,na,na,na,na,na,na,na,na,na,na,na,na
55,na,na,na,na,na,na,na,na,na,na,na,na,na,na
56,na,na,na,na,na,na,na,na,na,na,na,na,na,na
57,na,na,na,na,na,na,na,na,na,na,na,na,na,na
58,na,na,na,na,na,na,na,na,na,na,na,na,na,na
59,na,na,na,na,na,na,na,na,na,na,na,na,na,na
60,na,na,na,na,na,na,na,na,na,na,na,na,na,na
61,na,na,na,na,na,na,na,na,na,na,na,na,na,na
62,na,na,na,na,na,na,na,na,na,na,na,na,na,na
63,na,na,na,na,na,na,na,na,na,na,na,na,na,na
64,BMW,X3,2019,"$49,995 ",Blue,XDRIVE 30I AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"35,737",na,"42 Talbot Road East, Cayuga, ON, N0A 1E0"
65,Porsche,Panamera,2019,"$149,800 ",White,"GTS Sport Turismo,AWD,PREMIUM PKG+,SPORT CHRONO,",Used,Sedan,All-wheel drive (AWD),Automatic,Other,"25,592",https://www.carproof.com/order?ref=kijiji&vin=WP0CG2A7XKL194022,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
66,Lexus,IS,2010,"$13,995 ",Black,IS 250 6-SPEED SEQUE,Used,Sedan,Other,Automatic,Gasoline,"117,031",https://www.carproof.com/order?ref=kijiji&vin=JTHBF5C26A5119224,"3206 Danforth Avenue, Toronto, ON, M1L 1C1"
67,BMW,M2,2017,"$47,800 ",Black,"M240i, AWD, 335HP, M Sport PKG, NAV, 360 CAM,",Used,Convertible,All-wheel drive (AWD),Automatic,Other,"36,434",https://www.carproof.com/order?ref=kijiji&vin=WBA2L3C32HV667719,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
68,Land Rover,LR3,2006,"$6,300 ",Black,SE,Used,"Minivan, Van",4 x 4,Automatic,Gasoline,"192,942",na,"Scarborough, ON M1M"
69,Honda,Other,2010,"$8,495 ",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCP2F35AA806080,"917 Queen Street East, Toronto, ON, M4M 1J6"
70,Honda,Civic,2012,"$9,800 ",Black,Si,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,na,260,na,"Markham, ON L3R"
71,Land Rover,Range Rover Evoque,2015,"$28,585 ",White,NAVI | PANO | REAR CAM | FINANCE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"99,892",https://www.carproof.com/order?ref=kijiji&vin=SALVP2BG7FH007909,"2430 Finch Ave West,, North York, ON, M9M 2E1"
72,Nissan,Pathfinder,2014,"$12,000 ",Grey,Sl,Used,"SUV, Crossover",na,Automatic,na,"350,000",na,"Toronto, ON M4B1A5"
73,Dodge,Avenger,2014,"$7,950 ",Black,SXT,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"170,000",https://www.carproof.com/order?ref=kijiji&vin=1C3CDZCB9EN162730,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
74,Jeep,Patriot,2011,"$6,750 ",Grey,North Edition,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=1J4NF2GBXBD202633,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
75,Infiniti,QX60,2017,"$25,950 ",Blue,QX 60,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"127,000",https://www.carproof.com/order?ref=kijiji&vin=5N1DL0MMXHC549233,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
76,Mazda,Tribute,2010,"$3,950 ",Silver,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"245,000",https://www.carproof.com/order?ref=kijiji&vin=4F2CY0C71AKM08494,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
77,Mercedes-Benz,C-Class,2014,"$13,950 ",White,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"149,000",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8AB3EG244273,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
78,Volkswagen,Jetta,2009,"$4,950 ",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"233,000",https://www.carproof.com/order?ref=kijiji&vin=3VWHM71K29M090789,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
79,Nissan,Sentra,2010,"$2,950 ",Blue,SE,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,"196,000",https://www.carproof.com/order?ref=kijiji&vin=3N1AB6AP3AL619437,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
80,Chevrolet,Silverado 1500,2010,"$13,950 ",Black,LT,Used,Pickup Truck,4 x 4,Automatic,Other,"285,000",https://www.carproof.com/order?ref=kijiji&vin=3GCRKSE30AG100676,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
81,Toyota,RAV4,2013,"$12,950 ",Grey,LE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=2T3BFREV7DW027892,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
82,Chevrolet,Malibu,2009,"$4,750 ",Grey,LTZ,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"294,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZK577594132770,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
83,Mazda,Mazda3 Sport,2015,"$9,950 ",Blue,GS,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"242,000",https://www.carproof.com/order?ref=kijiji&vin=3MZBM1L71FM233433,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
84,Hyundai,Elantra,2012,"$7,750 ",Purple,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"178,000",https://www.carproof.com/order?ref=kijiji&vin=5NPDH4AE5CH146574,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
85,Lexus,IS,2014,"$19,950 ",Grey,AWD,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"151,000",https://www.carproof.com/order?ref=kijiji&vin=JTHCF1D29E5004473,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
86,Toyota,FJ Cruiser,2008,"$15,950 ",Yellow,C Package,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"389,000",https://www.carproof.com/order?ref=kijiji&vin=JTEBU11F98K037226,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
87,Toyota,Tacoma,2015,"$29,950 ",Black,TRD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"171,000",https://www.carproof.com/order?ref=kijiji&vin=5TFMU4FN9FX032350,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
88,Infiniti,G37x,2009,"$9,950 ",Grey,G37x,Used,Sedan,Other,Automatic,Gasoline,"141,000",https://www.carproof.com/order?ref=kijiji&vin=JNKCV61F19M358524,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
89,Infiniti,EX35,2012,"$8,950 ",Other,EX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"214,000",https://www.carproof.com/order?ref=kijiji&vin=JN1AJ0HR6CM452572,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
90,Dodge,Dakota,2008,"$8,950 ",Grey,SLT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"253,000",https://www.carproof.com/order?ref=kijiji&vin=1D7HW38K08S624329,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
91,Mazda,B-Series Pickups,2008,"$10,999 ",Red,SE  /  4X4  /  EXTENDED CAB,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"208,000",https://www.carproof.com/order?ref=kijiji&vin=4f4zr47e98pm04981,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
92,Dodge,Dakota,2007,"$10,999 ",Silver,"QUAD CAB  /  4X4  /  ONLY 146,000 KMS",Used,Pickup Truck,4 x 4,Automatic,Gasoline,"146,000",https://www.carproof.com/order?ref=kijiji&vin=1d7hw28kx7s175511,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
93,Ford,Ranger,2008,"$10,999 ",Blue,SPORT  /  4X4  /  NO ACCIDENTS CARFAX INCLUDED,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"222,000",https://www.carproof.com/order?ref=kijiji&vin=1ftzr45e08pa85319,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
94,Hyundai,Tucson,2017,"$19,990 ",Grey,Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"146,416",na,"55 Auction Ln, Brampton, ON, L6T 5V8"
95,Kia,Sorento,2011,"$9,200 ",Black,"EX AWD, PAN ROOF, NAVI, LEATHER SEATS, BACKUP CAM",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"192,546",https://www.carproof.com/order?ref=kijiji&vin=5XYKUDA27BG067065,"3675 Keele Street, Toronto, ON, M3J 1M6"
96,BMW,M3,2021,"$119,800 ",Grey,"COMPETITION. 503 HP, PREMIUM PKG, CARBON FIBER,",Used,Sedan,Rear-wheel drive (RWD),Automatic,Other,"3,600",https://www.carproof.com/order?ref=kijiji&vin=WBS33AY02MFL57349,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
97,Land Rover,LR3,2006,"$6,300 ",Black,SE,Used,"Minivan, Van",4 x 4,Automatic,Gasoline,"192,942",na,"Scarborough, ON M1M"
98,Honda,Other,2010,"$8,495 ",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCP2F35AA806080,"917 Queen Street East, Toronto, ON, M4M 1J6"
99,Honda,Civic,2012,"$9,800 ",Black,Si,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,na,260,na,"Markham, ON L3R"
100,na,na,na,na,na,na,na,na,na,na,na,na,na,na
101,na,na,na,na,na,na,na,na,na,na,na,na,na,na
102,na,na,na,na,na,na,na,na,na,na,na,na,na,na
103,na,na,na,na,na,na,na,na,na,na,na,na,na,na
104,na,na,na,na,na,na,na,na,na,na,na,na,na,na
105,na,na,na,na,na,na,na,na,na,na,na,na,na,na
106,na,na,na,na,na,na,na,na,na,na,na,na,na,na
107,na,na,na,na,na,na,na,na,na,na,na,na,na,na
108,na,na,na,na,na,na,na,na,na,na,na,na,na,na
109,na,na,na,na,na,na,na,na,na,na,na,na,na,na
110,na,na,na,na,na,na,na,na,na,na,na,na,na,na
111,na,na,na,na,na,na,na,na,na,na,na,na,na,na
112,na,na,na,na,na,na,na,na,na,na,na,na,na,na
113,na,na,na,na,na,na,na,na,na,na,na,na,na,na
114,na,na,na,na,na,na,na,na,na,na,na,na,na,na
115,na,na,na,na,na,na,na,na,na,na,na,na,na,na
116,na,na,na,na,na,na,na,na,na,na,na,na,na,na
117,na,na,na,na,na,na,na,na,na,na,na,na,na,na
118,na,na,na,na,na,na,na,na,na,na,na,na,na,na
119,na,na,na,na,na,na,na,na,na,na,na,na,na,na
120,na,na,na,na,na,na,na,na,na,na,na,na,na,na
121,na,na,na,na,na,na,na,na,na,na,na,na,na,na
122,na,na,na,na,na,na,na,na,na,na,na,na,na,na
123,Honda,Civic,2006,"$4,999 ",Grey,EX,Used,Coupe (2 door),Front-wheel drive (FWD),Automatic,Gasoline,"149,285",https://www.carproof.com/order?ref=kijiji&vin=2HGFG12876H001697,"773 Warden Avenue, Unit 1, Scarborough, ON, M1L 4C2"
124,Ram,3500,2014,"$29,979 ",White,6.4L HEMI 4x4 CREW CAB 8FT LONGBOX,Used,Pickup Truck,4 x 4,Automatic,Other,"188,217",https://www.carproof.com/order?ref=kijiji&vin=3C63R3GJ3EG307918,"5455 Steeles Avenue West, North York, ON, M9L 1S7"
125,Ford,F-150,2015,"$18,900 ",Blue,XLT Super Cab 6.5-ft. Bed 4WD,Used,Pickup Truck,All-wheel drive (AWD),Automatic,Other,"300,800",https://www.carproof.com/order?ref=kijiji&vin=1FTFX1EF8FKD92425,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
126,BMW,3-Series,2020,"$48,900 ",Silver,XDrive Sedan | Premium Package | Certified Series,Used,Sedan,Other,Automatic,Other,"48,651",https://www.carproof.com/order?ref=kijiji&vin=WBA5R7C08LFH51543,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
127,Ford,F-150,2008,"$10,999 ",Beige,4X4  /  SUPER CREW /  1 OWNER  /  4.6L TRITON V8,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"235,000",https://www.carproof.com/order?ref=kijiji&vin=1FTRW14W38FC34264,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
128,Land Rover,LR3,2006,"$6,300 ",Black,SE,Used,"Minivan, Van",4 x 4,Automatic,Gasoline,"192,942",na,"Scarborough, ON M1M"
129,Honda,Other,2010,"$8,495 ",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCP2F35AA806080,"917 Queen Street East, Toronto, ON, M4M 1J6"
130,Honda,Civic,2012,"$9,800 ",Black,Si,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,na,260,na,"Markham, ON L3R"
131,Land Rover,Range Rover Evoque,2015,"$28,585 ",White,NAVI | PANO | REAR CAM | FINANCE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"99,892",https://www.carproof.com/order?ref=kijiji&vin=SALVP2BG7FH007909,"2430 Finch Ave West,, North York, ON, M9M 2E1"
132,Nissan,Pathfinder,2014,"$12,000 ",Grey,Sl,Used,"SUV, Crossover",na,Automatic,na,"350,000",na,"Toronto, ON M4B1A5"
133,Dodge,Avenger,2014,"$7,950 ",Black,SXT,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"170,000",https://www.carproof.com/order?ref=kijiji&vin=1C3CDZCB9EN162730,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
134,Jeep,Patriot,2011,"$6,750 ",Grey,North Edition,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=1J4NF2GBXBD202633,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
135,Infiniti,QX60,2017,"$25,950 ",Blue,QX 60,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"127,000",https://www.carproof.com/order?ref=kijiji&vin=5N1DL0MMXHC549233,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
136,Mazda,Tribute,2010,"$3,950 ",Silver,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"245,000",https://www.carproof.com/order?ref=kijiji&vin=4F2CY0C71AKM08494,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
137,Mercedes-Benz,C-Class,2014,"$13,950 ",White,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"149,000",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8AB3EG244273,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
138,Volkswagen,Jetta,2009,"$4,950 ",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"233,000",https://www.carproof.com/order?ref=kijiji&vin=3VWHM71K29M090789,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
139,Nissan,Sentra,2010,"$2,950 ",Blue,SE,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,"196,000",https://www.carproof.com/order?ref=kijiji&vin=3N1AB6AP3AL619437,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
140,Chevrolet,Silverado 1500,2010,"$13,950 ",Black,LT,Used,Pickup Truck,4 x 4,Automatic,Other,"285,000",https://www.carproof.com/order?ref=kijiji&vin=3GCRKSE30AG100676,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
141,Toyota,RAV4,2013,"$12,950 ",Grey,LE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=2T3BFREV7DW027892,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
142,Chevrolet,Malibu,2009,"$4,750 ",Grey,LTZ,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"294,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZK577594132770,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
143,Mazda,Mazda3 Sport,2015,"$9,950 ",Blue,GS,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"242,000",https://www.carproof.com/order?ref=kijiji&vin=3MZBM1L71FM233433,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
144,Hyundai,Elantra,2012,"$7,750 ",Purple,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"178,000",https://www.carproof.com/order?ref=kijiji&vin=5NPDH4AE5CH146574,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
